,Trial,Block,Rotation,Emphasis,Condition,Participant_Id,average,std
181,45,0,Gradual,Speed,Gradual_Speed,30,0.09176075406879515,0.08509165740105512
182,45,0,Sudden,Accuracy,Sudden_Accuracy,29,0.050406817836332024,0.0263244917994003
183,45,0,Sudden,Speed,Sudden_Speed,28,0.06969735593183782,0.07218426557922332
184,46,0,Gradual,Accuracy,Gradual_Accuracy,31,0.03725657275638835,0.009739742252445277
185,46,0,Gradual,Speed,Gradual_Speed,30,0.07966117278494904,0.07116269741784813
186,46,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05434875541499573,0.03660941307538224
187,46,0,Sudden,Speed,Sudden_Speed,28,0.06716127923807402,0.0717801270624656
188,47,0,Gradual,Accuracy,Gradual_Accuracy,31,0.03744515129951612,0.011366965940604452
189,47,0,Gradual,Speed,Gradual_Speed,30,0.0711529234973006,0.06258367310424141
190,47,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06083833900091653,0.0537708207422646
191,47,0,Sudden,Speed,Sudden_Speed,28,0.068058885794147,0.08544425329339629
192,48,0,Gradual,Accuracy,Gradual_Accuracy,31,0.03984169064113123,0.014097994526658797
193,48,0,Gradual,Speed,Gradual_Speed,30,0.06552638914869655,0.055423799485494786
194,48,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06876727862860037,0.07737662611243216
195,48,0,Sudden,Speed,Sudden_Speed,28,0.07144936751405331,0.10283173899492888
196,49,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04436542681848729,0.017556303992069918
197,49,0,Gradual,Speed,Gradual_Speed,30,0.06387769653786544,0.050049794449769425
198,49,0,Sudden,Accuracy,Sudden_Accuracy,29,0.07563776057243808,0.09896705655234014
199,49,0,Sudden,Speed,Sudden_Speed,28,0.07524614296212183,0.11434816636188502
200,50,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04928007040316725,0.020174074094895755
201,50,0,Gradual,Speed,Gradual_Speed,30,0.06842196286745864,0.051502540201982146
202,50,0,Sudden,Accuracy,Sudden_Accuracy,29,0.07839472320524345,0.10529832609528413
203,50,0,Sudden,Speed,Sudden_Speed,28,0.07721606720949316,0.1121771471817337
204,51,0,Gradual,Accuracy,Gradual_Accuracy,31,0.052099793478053255,0.020229977751089326
205,51,0,Gradual,Speed,Gradual_Speed,30,0.08066252966290731,0.0674231178258246
206,51,0,Sudden,Accuracy,Sudden_Accuracy,29,0.07573465061778888,0.09070411444483528
207,51,0,Sudden,Speed,Sudden_Speed,28,0.07657368645206243,0.09405452148427454
208,52,0,Gradual,Accuracy,Gradual_Accuracy,31,0.05156629579618375,0.01771375084911109
209,52,0,Gradual,Speed,Gradual_Speed,30,0.09979730986044522,0.10065962063120615
210,52,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06971373829842213,0.0638729494802787
211,52,0,Sudden,Speed,Sudden_Speed,28,0.07530161968259996,0.06870393351827582
212,53,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04864772158552501,0.014322734641907767
213,53,0,Gradual,Speed,Gradual_Speed,30,0.12220063699854608,0.14460089542041438
214,53,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06421407233175977,0.041259260946296
215,53,0,Sudden,Speed,Sudden_Speed,28,0.07676126611966902,0.05333255877847197
216,54,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04549430163603541,0.012444190695947373
217,54,0,Gradual,Speed,Gradual_Speed,30,0.1423982738992388,0.18779439168255885
218,54,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06187456237654128,0.03422820342342114
219,54,0,Sudden,Speed,Sudden_Speed,28,0.08233634409943637,0.059711806962734794
220,55,0,Gradual,Accuracy,Gradual_Accuracy,31,0.043648624580485476,0.01414126703111872
221,55,0,Gradual,Speed,Gradual_Speed,30,0.1551172376775875,0.2164936609828037
222,55,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06270294330831781,0.04190103931071734
223,55,0,Sudden,Speed,Sudden_Speed,28,0.08959672422336178,0.078579689365021
224,56,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04330776311485077,0.01906198484591427
225,56,0,Gradual,Speed,Gradual_Speed,30,0.15742756978226088,0.2176121186661744
226,56,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06464880632706523,0.05645877372941619
227,56,0,Sudden,Speed,Sudden_Speed,28,0.09364517077803942,0.09573449829679521
228,57,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04378719898527948,0.02424952680688529
229,57,0,Gradual,Speed,Gradual_Speed,30,0.15012829158344973,0.18691989497835884
230,57,0,Sudden,Accuracy,Sudden_Accuracy,29,0.0649584703419195,0.065685371252482
231,57,0,Sudden,Speed,Sudden_Speed,28,0.09059803499027158,0.0989427792473282
232,58,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04423378276534344,0.02639694123580812
233,58,0,Gradual,Speed,Gradual_Speed,30,0.1373110494487715,0.1364013370122403
234,58,0,Sudden,Accuracy,Sudden_Accuracy,29,0.061950980208517074,0.06110111397695327
235,58,0,Sudden,Speed,Sudden_Speed,28,0.08056008672245474,0.08314943893881288
236,59,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04403281193604052,0.024483173897527372
237,59,0,Gradual,Speed,Gradual_Speed,30,0.12376149737491787,0.08997785953097046
238,59,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05622368509049504,0.04530174865652624
239,59,0,Sudden,Speed,Sudden_Speed,28,0.06744985438259349,0.056506475228787406
240,60,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04289192670964354,0.021213128819822905
241,60,0,Gradual,Speed,Gradual_Speed,30,0.11225888985875589,0.06938329062789185
242,60,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04988393105599299,0.029160798754536747
243,60,0,Sudden,Speed,Sudden_Speed,28,0.05577531128285028,0.033855524394802654
244,61,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04084741430301604,0.02003436251635527
245,61,0,Gradual,Speed,Gradual_Speed,30,0.10327513636001794,0.07728668371792977
246,61,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04462180110951021,0.021697735233123676
247,61,0,Sudden,Speed,Sudden_Speed,28,0.04773125202810895,0.023650414506281813
248,62,0,Gradual,Accuracy,Gradual_Accuracy,31,0.03845101903999093,0.020669835947880518
249,62,0,Gradual,Speed,Gradual_Speed,30,0.0966721323665055,0.09576422486742255
250,62,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04098220565033771,0.02059124491398217
251,62,0,Sudden,Speed,Sudden_Speed,28,0.04314561634583287,0.02155805659945553
252,63,0,Gradual,Accuracy,Gradual_Accuracy,31,0.03677852927589455,0.021356484248697096
253,63,0,Gradual,Speed,Gradual_Speed,30,0.0929717143661526,0.10882803299325616
254,63,0,Sudden,Accuracy,Sudden_Accuracy,29,0.039075619769261376,0.020680415581985558
255,63,0,Sudden,Speed,Sudden_Speed,28,0.041114104535876224,0.02156994053778257
256,64,1,Gradual,Accuracy,Gradual_Accuracy,31,0.08816914347922941,0.06716239486967797
257,64,1,Gradual,Speed,Gradual_Speed,30,0.27631663824510816,0.21702867252317842
258,64,1,Sudden,Accuracy,Sudden_Accuracy,29,1.0104932678304512,0.2285166232599824
259,64,1,Sudden,Speed,Sudden_Speed,28,1.0357257316710582,0.17407162257552447
260,65,1,Gradual,Accuracy,Gradual_Accuracy,31,0.08757012819062382,0.05986031588153647
261,65,1,Gradual,Speed,Gradual_Speed,30,0.2649497857300862,0.18263119106096992
262,65,1,Sudden,Accuracy,Sudden_Accuracy,29,0.9928494540054474,0.23606713098028012
263,65,1,Sudden,Speed,Sudden_Speed,28,1.0132269631134905,0.1787074118226394
264,66,1,Gradual,Accuracy,Gradual_Accuracy,31,0.08530176319556439,0.049493978473322014
265,66,1,Gradual,Speed,Gradual_Speed,30,0.2439262113759647,0.14884491211510537
266,66,1,Sudden,Accuracy,Sudden_Accuracy,29,0.9574915132731606,0.2568760272035033
267,66,1,Sudden,Speed,Sudden_Speed,28,0.9792090099883015,0.19115727380017192
268,67,1,Gradual,Accuracy,Gradual_Accuracy,31,0.08069339634474684,0.04224523124749662
269,67,1,Gradual,Speed,Gradual_Speed,30,0.21747060203942115,0.14709107815165914
270,67,1,Sudden,Accuracy,Sudden_Accuracy,29,0.9034084013366424,0.2854206304401264
271,67,1,Sudden,Speed,Sudden_Speed,28,0.9447243148995137,0.20821318527097998
272,68,1,Gradual,Accuracy,Gradual_Accuracy,31,0.07416915870252053,0.03895382106058488
273,68,1,Gradual,Speed,Gradual_Speed,30,0.191105177730056,0.16027271237194005
274,68,1,Sudden,Accuracy,Sudden_Accuracy,29,0.8336647647360463,0.3035557126284608
275,68,1,Sudden,Speed,Sudden_Speed,28,0.9128556779920451,0.2197615851569051
276,69,1,Gradual,Accuracy,Gradual_Accuracy,31,0.06684432038277259,0.035518878352052224
277,69,1,Gradual,Speed,Gradual_Speed,30,0.16971362676091187,0.16474328030458182
278,69,1,Sudden,Accuracy,Sudden_Accuracy,29,0.7625282394715449,0.2980933569819867
279,69,1,Sudden,Speed,Sudden_Speed,28,0.8814039151983687,0.2176088467748239
280,70,1,Gradual,Accuracy,Gradual_Accuracy,31,0.06027973754324593,0.03074663510897596
281,70,1,Gradual,Speed,Gradual_Speed,30,0.15696090737259602,0.16202124422511507
282,70,1,Sudden,Accuracy,Sudden_Accuracy,29,0.7124553154755623,0.27142487108454444
283,70,1,Sudden,Speed,Sudden_Speed,28,0.850214783841683,0.20248053078690892
284,71,1,Gradual,Accuracy,Gradual_Accuracy,31,0.05642076663261261,0.025957737846803046
285,71,1,Gradual,Speed,Gradual_Speed,30,0.15414360690063858,0.1646874452020307
286,71,1,Sudden,Accuracy,Sudden_Accuracy,29,0.6993547271182009,0.23499993736629302
287,71,1,Sudden,Speed,Sudden_Speed,28,0.8240926946064733,0.18702171871641782
288,72,1,Gradual,Accuracy,Gradual_Accuracy,31,0.057065046797702315,0.02341119436710091
289,72,1,Gradual,Speed,Gradual_Speed,30,0.15832149709608215,0.17463367409080222
290,72,1,Sudden,Accuracy,Sudden_Accuracy,29,0.7188480791435706,0.20406095674855765
291,72,1,Sudden,Speed,Sudden_Speed,28,0.809400176553771,0.19020890476480334
292,73,1,Gradual,Accuracy,Gradual_Accuracy,31,0.06266973794466472,0.030949414845784513
293,73,1,Gradual,Speed,Gradual_Speed,30,0.16318710586165308,0.18246330970452063
294,73,1,Sudden,Accuracy,Sudden_Accuracy,29,0.7467852236763792,0.1932894344339991
295,73,1,Sudden,Speed,Sudden_Speed,28,0.808727515306566,0.21235701275085192
296,74,1,Gradual,Accuracy,Gradual_Accuracy,31,0.07105721079540624,0.050089735604430086
297,74,1,Gradual,Speed,Gradual_Speed,30,0.16316634163488272,0.18058975207238226
298,74,1,Sudden,Accuracy,Sudden_Accuracy,29,0.7552309185600151,0.1938880145869365
299,74,1,Sudden,Speed,Sudden_Speed,28,0.8185347296777504,0.23466546660996435
