p_id,Block,Rotation,Emphasis,avgerrors_mean,avgerrorsdegrees_mean,smoothedavgerror_mean,smoothedavgerrordegrees_mean,initerrors_mean,initerrorsdegrees_mean
29,4,Sudden,Accuracy,0.40843071573166523,0.40889695353747557,0.4084307157316653,23.401356234931896,0.553852287858399,23.401356234931896
29,5,Sudden,Accuracy,0.3706117012030684,0.3681280839543003,0.37061170120306847,21.234486317099357,0.5199171248629453,21.234486317099357
29,6,Sudden,Accuracy,0.3831036718464049,0.38331663741190913,0.3831036718464049,21.950223512763863,0.46086283325020316,21.95022351276386
29,7,Sudden,Accuracy,0.39168183320192634,0.39254664483179885,0.39168183320192634,22.44171595441746,0.5378893441134134,22.441715954417457
29,8,Sudden,Accuracy,0.37216984612614895,0.37094227664155754,0.37216984612614895,21.323761445061606,0.4117177571568765,21.323761445061603
29,9,Sudden,Accuracy,0.36708419075550347,0.36248765497163316,0.36708419075550347,21.03237485626558,0.5416289984479717,21.032374856265577
29,10,Sudden,Accuracy,0.23610236124669862,0.23886703063092565,0.23610236124669864,13.527668832508958,0.19352957372565566,13.527668832508958
29,11,Sudden,Accuracy,0.1291949064878758,0.13628413209378792,0.12919490648787582,7.402322876342621,0.0859029428901144,7.4023228763426205
30,0,Gradual,Speed,0.0753575727448962,0.08324802648898252,0.0753575727448962,4.317670872632634,0.07363109691630151,4.317670872632634
30,1,Gradual,Speed,0.07375887900768574,0.08337548303010123,0.07375887900768574,4.226072468756478,0.08458800853285857,4.226072468756478
30,2,Gradual,Speed,0.08059611376211372,0.09312988741159269,0.08059611376211372,4.617817163725367,0.09166011083014435,4.617817163725367
30,3,Gradual,Speed,0.1026232096789372,0.12096273132166502,0.10262320967893722,5.879876794689203,0.11006513242649124,5.879876794689202
30,4,Gradual,Speed,0.30612281172197325,0.31155664514703785,0.30612281172197325,17.539545124346994,0.2996430521386038,17.53954512434699
30,5,Gradual,Speed,0.3375354420697793,0.32665633311868175,0.33753544206977937,19.33935626668085,0.30738783269917325,19.33935626668085
30,6,Gradual,Speed,0.4360279510496141,0.4333154749513234,0.4360279510496141,24.98256134487974,0.5248087927188916,24.98256134487974
30,7,Gradual,Speed,0.4054724953575206,0.4010481279582859,0.40547249535752067,23.2318626926238,0.611819337137408,23.231862692623796
30,8,Gradual,Speed,0.42894336759391694,0.4308278584926475,0.42894336759391694,24.576644613260086,0.7583193556220515,24.576644613260086
30,9,Gradual,Speed,0.5050649481482204,0.5041640487917495,0.5050649481482204,28.938089908886795,0.735847235902731,28.938089908886795
30,10,Gradual,Speed,0.5088969130466696,0.5049364126086698,0.5088969130466696,29.15764532481021,0.6866021589725662,29.15764532481021
30,11,Gradual,Speed,0.46705341521448074,0.4630476890439891,0.4670534152144808,26.76018949896098,0.625864165737881,26.76018949896098
31,0,Gradual,Accuracy,0.07049787696490033,0.07265420208792177,0.07049787696490034,4.039230814721335,0.012271867047237131,4.039230814721335
31,1,Gradual,Accuracy,0.06798896951856732,0.07037132762997156,0.06798896951856732,3.895481006857508,0.09587841227176089,3.895481006857508
31,2,Gradual,Accuracy,0.11338493106637267,0.11560943579370629,0.11338493106637267,6.4964780104849265,0.11753339000291237,6.4964780104849265
31,3,Gradual,Accuracy,0.14424051311454633,0.14992334975378005,0.14424051311454636,8.264372636264907,0.17944291053463865,8.264372636264907
31,4,Gradual,Accuracy,0.13227527646795478,0.13772787338995515,0.13227527646795478,7.578815075539945,0.19559586977943677,7.578815075539945
31,5,Gradual,Accuracy,0.1608718978365224,0.16770679203746774,0.1608718978365224,9.217280788292493,0.2688090221758036,9.217280788292491
31,6,Gradual,Accuracy,0.22505680102469344,0.22415283002566125,0.22505680102469347,12.894804849430477,0.3895103885949995,12.894804849430475
31,7,Gradual,Accuracy,0.24312005742632817,0.24645121027025524,0.2431200574263282,13.929753205506811,0.46433064529541684,13.929753205506811
31,8,Gradual,Accuracy,0.19073876474116405,0.19433422549330293,0.19073876474116405,10.928526209207417,0.3190367592704967,10.928526209207416
31,9,Gradual,Accuracy,0.2438610923352007,0.24817575396070718,0.24386109233520073,13.972211378257072,0.13580947092005533,13.97221137825707
