p_id,Block,Rotation,Emphasis,initerrors_mean,initerrorsdegrees_mean
23,1,Gradual,Accuracy,0.09495640748182076,5.440601386432802
23,2,Gradual,Accuracy,0.09551056446792738,5.472352242924402
23,3,Gradual,Accuracy,0.08964555782844699,5.13631211566597
23,4,Gradual,Accuracy,0.14679677015473194,8.410835376018145
23,5,Gradual,Accuracy,0.19290847816403217,11.052841631090644
23,6,Gradual,Accuracy,0.19907230951000168,11.406003152845138
23,7,Gradual,Accuracy,0.24824768182117118,14.223544442259639
23,8,Gradual,Accuracy,0.22166557862884695,12.700502118758228
23,9,Gradual,Accuracy,0.22517380850234267,12.901508884071248
23,10,Gradual,Accuracy,0.20052667055543416,11.489331902636653
23,11,Gradual,Accuracy,-0.23324915217871867,-13.36419199484525
24,0,Sudden,Speed,0.09770334342741956,5.597989222708392
24,1,Sudden,Speed,1.3158732411156973,75.39398309013
24,2,Sudden,Speed,1.4751504548512493,84.51989520978029
24,3,Sudden,Speed,1.3301901648914256,76.21428239808974
24,4,Sudden,Speed,0.9421220902621152,53.979619558062396
24,5,Sudden,Speed,0.9498274472462419,54.42110399289451
24,6,Sudden,Speed,1.2637376813242294,72.40683555152694
24,7,Sudden,Speed,1.2283197632079148,70.37753832432217
24,8,Sudden,Speed,1.0730910169240857,61.4835863031517
24,9,Sudden,Speed,1.1762077256584327,67.39173851090958
24,10,Sudden,Speed,1.1881683169754753,68.07702991385693
24,11,Sudden,Speed,-0.6639926260111807,-38.04397509824914
25,0,Sudden,Accuracy,0.10427397482679418,5.974458670628696
25,1,Sudden,Accuracy,1.242747131425928,71.2041656326955
25,2,Sudden,Accuracy,1.1556649130235703,66.21472204760394
25,3,Sudden,Accuracy,0.6866702573695925,39.34330766443966
25,4,Sudden,Accuracy,0.5621903043853487,32.211131724455576
25,5,Sudden,Accuracy,0.571852970981683,32.76476173926757
25,6,Sudden,Accuracy,0.4589820446765166,26.297734032249394
25,7,Sudden,Accuracy,0.36038228704561254,20.648384058985762
25,8,Sudden,Accuracy,0.31571923033853416,18.089379409516702
25,9,Sudden,Accuracy,0.20037459592972875,11.480618668412703
25,10,Sudden,Accuracy,0.2212174762940411,12.674827746183896
25,11,Sudden,Accuracy,-0.3074390892609362,-17.614962271997438
26,0,Gradual,Speed,0.1455466500087963,8.339208767771753
26,1,Gradual,Speed,0.18321348935510434,10.497359689912514
26,2,Gradual,Speed,0.13372747474308072,7.662019907720837
26,3,Gradual,Speed,0.15573890256274034,8.923181822844182
26,4,Gradual,Speed,0.17335067926315073,9.932262297504536
